1 24.8991 169.018  1 60.3994 204.219  1 60.914 200.016 
1 42.6746 159.181  1 72.4136 187.649  1 72.8044 184.309 
1 126.289 184.573  1 106.776 188.935  1 106.561 185.13 
1 157.415 157.259  1 119.983 143.341  1 119.87 142.266 
1 183.36 131.77  1 178.035 118.575  1 177.367 118.523 
1 212.347 119.959  1 178.241 93.5952  1 177.786 94.956 
1 258.119 45.6829  1 156.319 160.648  1 155.591 158.176 
1 269.034 21.4409  1 172.87 235.261  1 171.717 228.604 
1 17.8952 189.606  1 200.604 80.0727  1 200.092 81.9602 
1 41.0585 209.243  1 230.518 64.2749  1 230.035 66.7723 
1 73.6625 140.375  1 259.081 45.5756  1 258.724 49.0014 
1 146.806 105.419  1 286.451 41.5102  1 286.138 45.3589 
1 203.784 81.7774  1 215.432 92.9689  1 214.705 94.0812 
1 232.369 65.5817  1 240.188 143.794  1 239.185 142.318 
1 167.248 220.712  1 256.167 114.016  1 255.31 114.146 
1 172.888 121.055  1 240.495 103.365  1 239.637 103.915 
1 181.348 99.4426  1 268.759 22.7574  1 268.554 27.376 
1 210.446 93.4089  1 440.811 247.615  1 439.57 246.705 
1 235.823 137.228  1 409.301 193.772  1 409.179 194.51 
1 284.115 42.7203  1 426.401 226.045  1 425.708 225.808 
1 294.416 78.8757  1 436.964 176.829  1 436.51 178.708 
1 378.616 224.469  1 444.621 206.105  1 443.833 206.977 
1 434.67 179.351  1 15.1129 191.058  1 16.3757 188.01 
1 458.412 198.783  1 35.2343 216.814  1 36.0842 212.124 
1 440.052 248.108  1 51.0262 184.904  1 51.7862 181.944 
1 449.694 211.926  1 79.1032 170.676  1 79.4685 168.305 
1 472.013 239.86  1 166.838 173.869  1 165.919 170.533 
1 45.7523 231.3  1 201.774 172.026  1 200.68 168.789 
1 82.0133 211.872  1 265.343 77.0269  1 264.768 78.9749 
1 147.6 125.04  1 294.95 77.8417  1 294.511 80.1403 
1 231.38 42.0765  1 200.267 202.665  1 199.105 197.788 
1 387.641 176.893  1 219.825 168.248  1 218.738 165.327 
1 398.946 236.503  1 402.399 246.552  1 401.765 244.942 
1 27.6424 224.663  1 403.415 216.813  1 403.17 216.507 
1 109.636 126.39  1 416.867 246.003  1 416.048 244.729 
1 183.147 74.6868  1 438.536 263.487  1 437.106 261.834 
1 124.114 220.678  1 471.135 271.193  1 469.054 269.717 
1 122.027 146.203  1 429.02 154.626  1 428.735 157.166 
1 193.634 143.455  1 455.051 175.677  1 454.308 177.884 
1 211.408 174.705  1 463.2 206.639  1 462.064 207.759 
1 246.534 107.104  1 477.959 238.189  1 476.178 238.245 
1 266.406 76.0186  1 43.9584 156.299  1 44.9456 155.101 
1 367.308 193.382  1 120.349 229.498  1 119.757 223.239 
1 373.943 156.394  1 129.436 192.629  1 128.848 188.375 
1 409.673 138.526  1 230.556 39.2737  1 230.301 43.0269 
1 447.995 265.577  1 356.967 188.555  1 357.12 188.108 
1 94.0156 155.236  1 375.679 225.026  1 375.546 223.666 
1 117.412 202.016  1 146.472 98.8447  1 146.328 100.182 
1 205.704 107.69  1 185.966 62.7348  1 185.731 65.6446 
1 231.586 105.925  1 153.56 213.32  1 152.589 207.745 
1 257.812 63.5238  1 368.367 156.383  1 368.548 157.441 
1 400.433 188.908  1 31.4667 192.019  1 32.4963 188.805 
1 470.232 256.31  1 23.318 230.971  1 24.2492 225.586 
1 21.2373 254.393  1 146.878 148.847  1 146.348 147.182 
1 50.1861 195.659  1 182.279 132.369  1 181.477 131.475 
1 68.2073 173.106  1 183.266 201.754  1 182.135 196.819 
1 73.2562 185.214  1 219.234 143.567  1 218.195 141.963 
1 101.046 183.166  1 217.19 119.783  1 216.25 119.468 
1 121.261 161.806  1 479.881 258.869  1 477.807 258.067 
1 151.188 144.387  1 27.6967 167.829  1 28.872 166.059 
1 155.419 187.534  1 25.1221 246.176  1 25.9163 239.945 
1 171.594 187.636  1 59.8568 227.718  1 60.2471 222.174 
1 208.978 152.279  1 29.5848 260.258  1 30.2057 253.236 
1 412.028 167.878  1 71.3313 135.635  1 72.0184 135.448 
1 421.294 215.371  1 105.466 122.583  1 105.72 122.891 
1 413.018 234.616  1 94.0197 153.174  1 94.2422 151.739 
1 440.947 166.904  1 81.7732 216.548  1 81.8541 211.395 
1 437.742 216.234  1 121.216 212.36  1 120.663 207.022 
1 184.262 191.887  1 122.599 164.962  1 122.288 162.496 
2.10535e-314 1.27614e-303 2.36645e-307  1 151.61 120.421  1 151.225 120.469 
0 2.122e-314 -7.84591e+298  1 209.233 105.801  1 208.424 106.266 
1 35.3668 174.175  1 194.304 141.82  1 193.359 140.316 
1 54.1306 161.773  1 177.166 187.738  1 176.106 183.57 
1 135.182 192.181  1 248.555 69.8648  1 248.007 72.0649 
1 165.666 150.747  1 396.077 132.165  1 396.079 134.772 
1 190.349 127.78  1 431.161 140.089  1 430.852 143.176 
1 220.744 119.487  1 381.448 173.323  1 381.638 174.145 
1 267.427 42.7365  1 389.378 216.783  1 389.269 216.143 
1 276.742 13.2325  1 395.602 177.98  1 395.696 178.997 
1 20.5105 199.124  1 412.643 164.632  1 412.564 166.502 
1 50.2088 210.669  1 441.337 221.59  1 440.435 221.784 
