<<<<<<< HEAD
1 35.3668 174.175  1 60.3994 204.219  1 60.914 200.016 
1 54.1306 161.773  1 72.4136 187.649  1 72.8044 184.309 
1 135.182 192.181  1 106.776 188.935  1 106.561 185.13 
1 165.666 150.747  1 119.983 143.341  1 119.87 142.266 
1 190.349 127.78  1 178.035 118.575  1 177.367 118.523 
1 220.744 119.487  1 178.241 93.5952  1 177.786 94.956 
1 267.427 42.7365  1 156.319 160.648  1 155.591 158.176 
1 276.742 13.2325  1 172.87 235.261  1 171.717 228.604 
1 20.5105 199.124  1 200.604 80.0727  1 200.092 81.9602 
1 50.2088 210.669  1 230.518 64.2749  1 230.035 66.7723 
1 77.0499 128.499  1 259.081 45.5756  1 258.724 49.0014 
1 155.902 97.0702  1 286.451 41.5102  1 286.138 45.3589 
1 213.286 79.4878  1 215.432 92.9689  1 214.705 94.0812 
1 239.097 60.0235  1 240.188 143.794  1 239.185 142.318 
1 173.624 213.971  1 256.167 114.016  1 255.31 114.146 
1 181.905 116.922  1 240.495 103.365  1 239.637 103.915 
1 189.097 97.5873  1 268.759 22.7574  1 268.554 27.376 
1 218.56 91.5988  1 440.811 247.615  1 439.57 246.705 
1 237.171 145.496  1 409.301 193.772  1 409.179 194.51 
1 288.013 52.505  1 426.401 226.045  1 425.708 225.808 
1 295.964 88.8178  1 436.964 176.829  1 436.51 178.708 
1 382.295 232.536  1 444.621 206.105  1 443.833 206.977 
1 441.161 185.079  1 15.1129 191.058  1 16.3757 188.01 
1 464.509 204.391  1 35.2343 216.814  1 36.0842 212.124 
1 447.802 249.061  1 51.0262 184.904  1 51.7862 181.944 
1 454.883 220.237  1 79.1032 170.676  1 79.4685 168.305 
1 480.666 246.133  1 166.838 173.869  1 165.919 170.533 
1 60.8477 221.128  1 201.774 172.026  1 200.68 168.789 
1 86.0875 199.092  1 265.343 77.0269  1 264.768 78.9749 
1 157.924 114.146  1 294.95 77.8417  1 294.511 80.1403 
1 247.033 24.888  1 200.267 202.665  1 199.105 197.788 
1 389.999 159.002  1 219.825 168.248  1 218.738 165.327 
1 403.997 249.738  1 402.399 246.552  1 401.765 244.942 
1 35.1376 221.109  1 403.415 216.813  1 403.17 216.507 
1 122.611 126.268  1 416.867 246.003  1 416.048 244.729 
1 192.618 64.5449  1 438.536 263.487  1 437.106 261.834 
1 139.765 226.086  1 471.135 271.193  1 469.054 269.717 
1 127.991 152.043  1 429.02 154.626  1 428.735 157.166 
1 204.295 135.144  1 455.051 175.677  1 454.308 177.884 
1 221.34 159.183  1 463.2 206.639  1 462.064 207.759 
1 247.396 118.928  1 477.959 238.189  1 476.178 238.245 
1 275.891 69.1787  1 43.9584 156.299  1 44.9456 155.101 
1 370.055 201.401  1 120.349 229.498  1 119.757 223.239 
1 374.188 142.189  1 129.436 192.629  1 128.848 188.375 
1 426.098 142.239  1 230.556 39.2737  1 230.301 43.0269 
1 462.848 268.441  1 356.967 188.555  1 357.12 188.108 
1 100.194 165.743  1 375.679 225.026  1 375.546 223.666 
1 129.65 205.685  1 146.472 98.8447  1 146.328 100.182 
1 216.144 105.794  1 185.966 62.7348  1 185.731 65.6446 
1 232.437 114.544  1 153.56 213.32  1 152.589 207.745 
1 266.96 57.3381  1 368.367 156.383  1 368.548 157.441 
1 402.177 176.708  1 31.4667 192.019  1 32.4963 188.805 
