1 14.4315 163.86  1 60.3994 204.219  1 60.914 200.016 
1 31.2186 156.589  1 72.4136 187.649  1 72.8044 184.309 
1 117.396 176.966  1 106.776 188.935  1 106.561 185.13 
1 149.165 163.771  1 119.983 143.341  1 119.87 142.266 
1 176.371 135.76  1 178.035 118.575  1 177.367 118.523 
1 203.95 120.431  1 178.241 93.5952  1 177.786 94.956 
1 248.811 48.6294  1 156.319 160.648  1 155.591 158.176 
1 261.327 29.6492  1 172.87 235.261  1 171.717 228.604 
1 15.2799 180.088  1 200.604 80.0727  1 200.092 81.9602 
1 31.9082 207.816  1 230.518 64.2749  1 230.035 66.7723 
1 70.2751 152.251  1 259.081 45.5756  1 258.724 49.0014 
1 137.711 113.769  1 286.451 41.5102  1 286.138 45.3589 
1 194.281 84.0671  1 215.432 92.9689  1 214.705 94.0812 
1 225.642 71.1398  1 240.188 143.794  1 239.185 142.318 
1 160.871 227.452  1 256.167 114.016  1 255.31 114.146 
1 163.871 125.187  1 240.495 103.365  1 239.637 103.915 
1 173.598 101.298  1 268.759 22.7574  1 268.554 27.376 
1 202.333 95.219  1 440.811 247.615  1 439.57 246.705 
1 234.476 128.96  1 409.301 193.772  1 409.179 194.51 
1 280.216 32.9356  1 426.401 226.045  1 425.708 225.808 
1 292.868 68.9335  1 436.964 176.829  1 436.51 178.708 
1 374.937 216.401  1 444.621 206.105  1 443.833 206.977 
1 428.18 173.622  1 15.1129 191.058  1 16.3757 188.01 
1 452.314 193.174  1 35.2343 216.814  1 36.0842 212.124 
1 432.302 247.154  1 51.0262 184.904  1 51.7862 181.944 
1 444.506 203.614  1 79.1032 170.676  1 79.4685 168.305 
1 463.36 233.588  1 166.838 173.869  1 165.919 170.533 
1 30.6569 241.472  1 201.774 172.026  1 200.68 168.789 
1 77.9391 224.653  1 265.343 77.0269  1 264.768 78.9749 
1 137.276 135.935  1 294.95 77.8417  1 294.511 80.1403 
1 215.726 59.265  1 200.267 202.665  1 199.105 197.788 
1 385.283 194.785  1 219.825 168.248  1 218.738 165.327 
1 393.894 223.267  1 402.399 246.552  1 401.765 244.942 
1 20.1473 228.216  1 403.415 216.813  1 403.17 216.507 
1 96.6619 126.513  1 416.867 246.003  1 416.048 244.729 
1 173.677 84.8286  1 438.536 263.487  1 437.106 261.834 
1 108.464 215.271  1 471.135 271.193  1 469.054 269.717 
1 116.063 140.362  1 429.02 154.626  1 428.735 157.166 
1 182.974 151.765  1 455.051 175.677  1 454.308 177.884 
1 201.476 190.228  1 463.2 206.639  1 462.064 207.759 
1 245.672 95.2795  1 477.959 238.189  1 476.178 238.245 
1 256.921 82.8585  1 43.9584 156.299  1 44.9456 155.101 
1 364.561 185.363  1 120.349 229.498  1 119.757 223.239 
1 373.699 170.598  1 129.436 192.629  1 128.848 188.375 
1 393.247 134.813  1 230.556 39.2737  1 230.301 43.0269 
1 433.143 262.712  1 356.967 188.555  1 357.12 188.108 
1 87.8371 144.729  1 375.679 225.026  1 375.546 223.666 
1 105.174 198.347  1 146.472 98.8447  1 146.328 100.182 
1 195.265 109.586  1 185.966 62.7348  1 185.731 65.6446 
1 230.736 97.307  1 153.56 213.32  1 152.589 207.745 
1 248.665 69.7095  1 368.367 156.383  1 368.548 157.441 
1 398.688 201.108  1 31.4667 192.019  1 32.4963 188.805 
1 461.313 252.268  1 23.318 230.971  1 24.2492 225.586 
1 9.47223 251.082  1 146.878 148.847  1 146.348 147.182 
1 36.1911 190.752  1 182.279 132.369  1 181.477 131.475 
1 54.1986 179.257  1 183.266 201.754  1 182.135 196.819 
1 66.3463 187.79  1 219.234 143.567  1 218.195 141.963 
1 92.7347 180.712  1 217.19 119.783  1 216.25 119.468 
1 107.323 149.892  1 479.881 258.869  1 477.807 258.067 
1 142.68 150.842  1 27.6967 167.829  1 28.872 166.059 
1 147.347 203.987  1 25.1221 246.176  1 25.9163 239.945 
1 161.811 203.7  1 59.8568 227.718  1 60.2471 222.174 
1 200.055 165.073  1 29.5848 260.258  1 30.2057 253.236 
1 405.863 154.834  1 71.3313 135.635  1 72.0184 135.448 
1 414.882 201.465  1 105.466 122.583  1 105.72 122.891 
1 408.216 220.724  1 94.0197 153.174  1 94.2422 151.739 
1 428.596 158.159  1 81.7732 216.548  1 81.8541 211.395 
1 430.335 200.893  1 121.216 212.36  1 120.663 207.022 
1 180.49 199.698  1 122.599 164.962  1 122.288 162.496 
2.10535e-314 1.27626e-303 2.37272e-307  1 151.61 120.421  1 151.225 120.469 
0 2.122e-314 -7.84591e+298  1 209.233 105.801  1 208.424 106.266 
1 21.0208 185.436  1 194.304 141.82  1 193.359 140.316 
1 71.9317 185.707  1 177.166 187.738  1 176.106 183.57 
1 49.6789 168.001  1 248.555 69.8648  1 248.007 72.0649 
1 73.2908 98.4777  1 396.077 132.165  1 396.079 134.772 
1 137.958 137.063  1 431.161 140.089  1 430.852 143.176 
1 127.709 112.285  1 381.448 173.323  1 381.638 174.145 
1 150.031 163.088  1 389.378 216.783  1 389.269 216.143 
1 178.479 208.839  1 395.602 177.98  1 395.696 178.997 
1 141.152 96.8689  1 412.643 164.632  1 412.564 166.502 
1 194.247 97.0793  1 441.337 221.59  1 440.435 221.784 
